1. ID: 2 | Name: AIIMS, New Delhi | State: Delhi | Fees: 1628
70. ID: 73 | Name: Jawaharlal Lal Nehru Medical College, Ajmer | State: Rajasthan | Fees: 132625
71. ID: 74 | Name: Government Medical College, Thrissur | State: Kerala | Fees: 31715
72. ID: 75 | Name: Pt B.D Sharma PGIMS, Rohtak | State: Haryana | Fees: 9600
73. ID: 76 | Name: Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru | State: Karnataka | Fees: 75470
74. ID: 77 | Name: M.G.M Medical College, Indore | State: Madhya Pradesh | Fees: 118000
75. ID: 78 | Name: Indira Gandhi Institute of Medical Sciences, Patna | State: Bihar | Fees: 21667
76. ID: 79 | Name: Government Medical College, Kota | State: Rajasthan | Fees: 25350
77. ID: 80 | Name: Rajendra Institute of Medical Sciences, Ranchi | State: Jharkhand | Fees: 17500
78. ID: 81 | Name: LLRM Medical College, Meerut | State: Uttar Pradesh | Fees: 42000
79. ID: 82 | Name: Government Medical College, Nagpur | State: Maharashtra | Fees: 173000
80. ID: 83 | Name: Shri Kalyan Government Medical College, Sikar | State: Rajasthan | Fees: 124670
81. ID: 84 | Name: S.N Medical College, Agra | State: Uttar Pradesh | Fees: 36000
82. ID: 85 | Name: Government Kilpauk Medical College, Chennai | State: Tamil Nadu | Fees: 18073
83. ID: 86 | Name: P.D.U Medical College, Rajkot | State: Gujarat | Fees: 25000
84. ID: 87 | Name: M.P Shah Medical College, Jamnagar | State: Gujarat | Fees: 25000
85. ID: 88 | Name: ESI-MC & PGIMSR, Bangalore | State: Karnataka | Fees: 100000
86. ID: 89 | Name: Employees State Insurance Corporation Medical College, Alwar | State: Rajasthan | Fees: 100000
87. ID: 90 | Name: G.S.V.M Medical College, Kanpur | State: Uttar Pradesh | Fees: 39600
88. ID: 91 | Name: Kalpana Chawla Government Medical College, Karnal | State: Haryana | Fees: 80000
89. ID: 92 | Name: Mysore Medical & Research Institute, Mysore | State: Karnataka | Fees: 72050
90. ID: 93 | Name: Gandhi Medical College, Bhopal | State: Madhya Pradesh | Fees: 116000
91. ID: 94 | Name: T.D Medical College, Alappuzha | State: Kerala | Fees: 31570
92. ID: 95 | Name: Government Medical College, Bhiwani | State: Rajasthan | Fees: 154800
93. ID: 96 | Name: Gajara Raja Medical College, Gwalior | State: Madhya Pradesh | Fees: 121000
94. ID: 97 | Name: Government Dental Medical College, Dehradun | State: Uttarakhand | Fees: 17150
95. ID: 98 | Name: Namo Medical Education & Research Institute, Government Medical College Silvassa | State: Dadra & Nagar Haveli | Fees: 60100
96. ID: 99 | Name: Government Medical College, Amritsar | State: Punjab | Fees: 192000
97. ID: 100 | Name: Medical College, Bhavnagar | State: Gujarat | Fees: 25000
98. ID: 101 | Name: Haldiaar Medical College, Haldwar | State: Rajasthan | Fees: 131300
99. ID: 102 | Name: SLBS Government Medical College, Mandi | State: Himachal Pradesh | Fees: 6000
100. ID: 104 | Name: Motilal Nehru Medical College, Allahabad | State: Uttar Pradesh | Fees: 42000
101. ID: 105 | Name: Government Medical College, Mumbai Maharashtra | State: Maharashtra | Fees: 151970
102. ID: 106 | Name: Maharani Laxmi Bai Medical College, Jhansi | State: Uttar Pradesh | Fees: 42000
103. ID: 107 | Name: Nalanda Medical College, Patna | State: Bihar | Fees: 40800
104. ID: 108 | Name: Government Medical College, Pal | State: Rajasthan | Fees: 124970
105. ID: 109 | Name: Nilratan Sircar Medical College, Kolkata | State: West Bengal | Fees: 9000
106. ID: 110 | Name: Government Medical College, Jammu | State: Jammu & Kashmir | Fees: 26250
107. ID: 111 | Name: Uttaranchal Forest Hospital Trust Medical College, Haldwani | State: Uttarakhand | Fees: 145000
108. ID: 112 | Name: Government Medical College, Alwar | State: Rajasthan | Fees: 165000
109. ID: 113 | Name: Coimbatore Medical College, Coimbatore | State: Tamil Nadu | Fees: 18073
110. ID: 114 | Name: Government Medical College, Ernakulam | State: Kerala | Fees: 31815
111. ID: 115 | Name: Uttar Pradesh University of Medical Sciences, Saifai, Etawah | State: Uttar Pradesh | Fees: 42000
112. ID: 116 | Name: Government Medical College, Dausa | State: Rajasthan | Fees: 119280
113. ID: 117 | Name: ESIC Medical College and Hospital, Indore | State: Madhya Pradesh | Fees: 100000
114. ID: 118 | Name: B.R.D Medical College, Gorakhpur | State: Uttar Pradesh | Fees: 42000
115. ID: 119 | Name: Government Medical College, Churu | State: Rajasthan | Fees: 172872
116. ID: 120 | Name: Government Medical College, ESIC Kollam | State: Kerala | Fees: 32570
117. ID: 121 | Name: BPS Government Medical College, Sonepat | State: Haryana | Fees: 80000
118. ID: 122 | Name: Government Medical College, Kannur | State: Kerala | Fees: 29395
119. ID: 123 | Name: Netaji Subhash Chandra Bose Medical College, Jabalpur | State: Madhya Pradesh | Fees: 114000
120. ID: 124 | Name: Madurai Medical College, Madurai | State: Tamil Nadu | Fees: 18073
121. ID: 125 | Name: Rajiv Gandhi Medical College, Thane | State: Maharashtra | Fees: 152100
122. ID: 126 | Name: S.P Medical College, Bharatpur | State: Rajasthan | Fees: 124970
123. ID: 127 | Name: S.H.U Malhar Mahmood Hasan Medical College, Saharanpur | State: Uttar Pradesh | Fees: 32000
124. ID: 128 | Name: Darbhanga Medical College, Laheriasarai | State: Bihar | Fees: 40800
125. ID: 129 | Name: Dr B.R Ambedkar State Institute of Medical Sciences | State: Punjab | Fees: 192000
126. ID: 130 | Name: Guwahati Medical College, Guwahati | State: Assam | Fees: 23900
127. ID: 131 | Name: Dr Radhakrishnan Government Medical College, Hamirpur | State: Himachal Pradesh | Fees: 6000
128. ID: 132 | Name: ESIC Medical College & Hospital, Andheri | State: Maharashtra | Fees: 100000
129. ID: 133 | Name: Government Medical College, Chittorgarh | State: Rajasthan | Fees: 66990
130. ID: 134 | Name: ESIC Medical College & Hospital, Ludhiana | State: Punjab | Fees: 125000
131. ID: 135 | Name: ESIC Medical College, Noida | State: Uttar Pradesh | Fees: 100000
132. ID: 137 | Name: Maharaja K.C Gajapati Medical College, Brahmapur | State: Odisha | Fees: 41450
133. ID: 138 | Name: Guntur Medical College, Guntur | State: Andhra Pradesh | Fees: 10000
134. ID: 184 | Name: Government Medical College, Tirunelveli | State: Tamil Nadu | Fees: 18453
135. ID: 185 | Name: Government Medical College, Omandurar | State: Tamil Nadu | Fees: 18073
136. ID: 186 | Name: Goa Medical College, Panaji | State: Goa | Fees: 63700
137. ID: 187 | Name: SKIMS Medical College, Bemina, Srinagar | State: Jammu & Kashmir | Fees: 26100
138. ID: 188 | Name: Indira Gandhi Government Medical College, Nagpur | State: Maharashtra | Fees: 152100
139. ID: 189 | Name: Dr Y.S Parmar Government Medical College, Nahan | State: Himachal Pradesh | Fees: 60000
140. ID: 190 | Name: Government Medical College, Kannauj | State: Uttar Pradesh | Fees: 36000
141. ID: 191 | Name: Government Medical College of Ulleger, Sriganganagar | State: Rajasthan | Fees: 66990
142. ID: 192 | Name: Government Medical College and ESIC Hospital, Coimbatore | State: Tamil Nadu | Fees: 18073
143. ID: 193 | Name: Kanyakumari Government Medical College, Asaripallam | State: Tamil Nadu | Fees: 18073
144. ID: 194 | Name: Government Mohan Kumaramangalam Medical College, Salem | State: Tamil Nadu | Fees: 18073
145. ID: 195 | Name: Government Medical College, Konni | State: Kerala | Fees: 31765
146. ID: 196 | Name: Kalyan Singh Government Medical College, Bulandshahr | State: Uttar Pradesh | Fees: 40800
147. ID: 197 | Name: ESIC Medical College and Hospital, Varanasi | State: Uttar Pradesh | Fees: 100000
148. ID: 198 | Name: Government Medical College, Aurangabad | State: Maharashtra | Fees: 165740
149. ID: 199 | Name: Calcutta National Medical College, Kolkata | State: West Bengal | Fees: 6500
150. ID: 200 | Name: Theni Government Medical College, Theni | State: Tamil Nadu | Fees: 18073
151. ID: 201 | Name: Government Medical College, Palakkad | State: Kerala | Fees: 28950
152. ID: 202 | Name: Government Medical College, Barmer Rajasthan | State: Rajasthan | Fees: 122630
153. ID: 203 | Name: Thanjavur Medical College, Thanjavur | State: Tamil Nadu | Fees: 18653
154. ID: 204 | Name: Government Medical College, Baramati | State: Maharashtra | Fees: 166100
155. ID: 205 | Name: Government Medical College, Ratlam | State: Madhya Pradesh | Fees: 116350
156. ID: 206 | Name: Shri Krishna Medical College, Muzaffarpur | State: Bihar | Fees: 40800
157. ID: 207 | Name: R.G Kar Medical College, Kolkata | State: West Bengal | Fees: 6500
158. ID: 208 | Name: V.S.S Medical College, Burla | State: Odisha | Fees: 38100
159. ID: 209 | Name: ESIC Medical College, Gulbarga | State: Karnataka | Fees: 100000
160. ID: 210 | Name: K.A.P Viswanatham Government Medical College, Tiruchirappalli | State: Tamil Nadu | Fees: 18073
161. ID: 211 | Name: Guru Gobind Singh Medical College, Faridkot | State: Punjab | Fees: 192000
162. ID: 212 | Name: ESIC Medical College & Hospital, Bihta | State: Bihar | Fees: 100000
