| Sri Venkateswara Ayurvedic College, Tirupati                     | Andhra Pradesh  |          ?4,712 | No                        |
| Government Ayurved College, Rewa                                 | Madhya Pradesh  |       ?1,07,225 | ?2,00,000                 |
| Govt. Ayurveda College & Hospital, Baramati, Pune                | Maharashtra     |         ?65,400 | No                        |
| Dr. B.R.K.R. Govt. Ayurveda College, Hyderabad                   | Telangana       |         ?18,982 | ?1,00,000                 |
| Govt. Ayurved College, Jabalpur                                  | Madhya Pradesh  |         ?93,150 | ?2,00,000                 |
| Dr. N.R. Sastry Govt. Ayurvedic College, Vijayawada              | Andhra Pradesh  |         ?12,457 | No                        |
| KATS Ayurved Medical College, Ganjam                             | Odisha          |         ?13,421 | No                        |
| Pt. Shivnath Shastri Govt. Autonomous Ayurved College, Burhanpur | Madhya Pradesh  |       ?1,03,436 | ?2,00,000                 |
| Govt. Ayurveda College, Kannur                                   | Kerala          |         ?17,515 | ?10,00,000                |
| Government Ayurved College, Bolangir                             | Odisha          |         ?10,600 | No                        |
| Taranath Govt. Ayurved College, Bellary                          | Karnataka       |         ?25,000 | No                        |
| Govt. Ayurveda Medical College & Teaching Hospital, Shimoga      | Karnataka       |         ?35,000 | No                        |
| Ayurved Mahavidyalaya & Hospital, Old Hubli                      | Karnataka       |         ?60,000 | No                        |
| Rajiv Gandhi Ayurveda Medical College, Mahe                      | Puducherry      |         ?74,000 | ?2,50,000                 |
| Government Ayurved College & Hospital, Jalgaon                   | Maharashtra     |         ?58,500 | No                        |
| Govt. Ayurveda College, Ernakulam                                | Kerala          |         ?17,660 | ?10,00,000                |
| Ayurved Seva Sangh Ayurved Mahavidyalaya, Nashik                 | Maharashtra     |         ?59,817 | No                        |
| Shri Gangadhar Shastri Gune Ayurved Mahavidyalaya, Ahmednagar    | Maharashtra     |         ?72,800 | No                        |
| Govt. Ayurveda Medical College & Hospital, Nagercoil             | Tamil Nadu      |         ?11,750 | Submit Total Tuition Fees |
| Vaidyaratnam Ayurved College, Thrissur                           | Kerala          |         ?28,535 | No                        |
| JSVV Samsthe's DGM Ayurvedic Medical College & Hospital, Gadag   | Karnataka       |         ?45,500 | Yes Available             |
| Govt. Ayurvedic Medical College, Akhnoor                         | Jammu & Kashmir |         ?27,060 | No                        |
| Vasant Dada Patil Ayurved Medical College, Sangli                 | Maharashtra |         ?85,000 | Not Mentioned |
| Vidarbha Ayurved Mahavidyalaya, Amravati                          | Maharashtra |       ?1,19,200 | Yes           |
| Seth Chandanmal Mutha Aryangla Vaidyak Mahavidyalaya, Satara      | Maharashtra |       ?1,07,000 | No            |
| Dayabhai Maoji Majithiya Ayurved Mahavidyalaya, Yavatmal          | Maharashtra |       ?1,12,200 | No            |
| Karamvir Vyankatrao Tanaji Randhir Ayurved College, Boradi, Dhule | Maharashtra |         ?90,000 | No            |
| RJVS Bhaisaheb Sawant Ayurved Mahavidyalaya, Sawantwadi           | Maharashtra |       ?1,10,000 | ?3,00,000     |
| Shri Gurudeo Ayurved Mahavidyalaya, Amravati                      | Maharashtra |       ?1,10,600 | No            |
| Radhakisan Toshniwal Ayurved Mahavidyalaya, Akola                 | Maharashtra |       ?1,11,770 | No            |
